Filename, Scale, ShiftX, ShiftY, ProcessingTime(s)
IMG_20230515_131348.jpg, 0.25x, 87.3px, 44.6px, 0.30s
IMG_20230516_190618.jpg, 0.25x, 93.4px, 23.2px, 0.33s
IMG_20230517_145832.jpg, 0.27x, 69.1px, -20.6px, 0.36s
IMG_20230518_172217.jpg, 0.25x, 81.4px, 31.6px, 0.33s
IMG_20230519_185022.jpg, 0.25x, 84.5px, 54.1px, 0.30s
IMG_20230520_135001.jpg, 0.25x, 72.4px, 41.8px, 0.31s
IMG_20230521_142020.jpg, 0.24x, 97.5px, 35.2px, 0.33s
IMG_20230522_215915.jpg, 0.26x, 83.8px, 26.8px, 0.32s
IMG_20230523_133741.jpg, 0.23x, 89.3px, 61.7px, 0.30s
IMG_20230524_152356.jpg, 0.24x, 95.0px, 62.7px, 0.32s
IMG_20230525_121938.jpg, 0.27x, 45.7px, 12.2px, 0.33s
IMG_20230526_181001.jpg, 0.27x, 76.4px, -2.9px, 0.33s
IMG_20230527_140911.jpg, 0.28x, 62.8px, 13.3px, 0.31s
IMG_20230528_185835.jpg, 0.25x, 80.3px, 31.4px, 0.33s
IMG_20230529_154554.jpg, 0.24x, 97.6px, 37.4px, 0.32s
IMG_20230530_141554.jpg, 0.28x, 67.7px, -31.7px, 0.31s
IMG_20230531_165103.jpg, 0.26x, 71.1px, 23.5px, 0.31s
IMG_20230605_172151.jpg, 0.28x, 52.7px, 37.9px, 0.43s
IMG_20230606_115205.jpg, 0.26x, 75.3px, 4.1px, 0.34s
IMG_20230607_154802.jpg, 0.26x, 86.6px, 15.3px, 0.41s
IMG_20230608_132525.jpg, 0.28x, 46.6px, 13.8px, 0.31s
IMG_20230610_170204.jpg, 0.28x, 55.2px, 2.2px, 0.32s
IMG_20230611_133340.jpg, 0.28x, 67.4px, -3.8px, 0.33s
IMG_20230612_135032.jpg, 0.29x, 74.3px, 7.3px, 0.30s
IMG_20230613_133040.jpg, 0.28x, 63.2px, -28.4px, 0.31s
IMG_20230614_111213.jpg, 0.27x, 52.4px, 18.0px, 0.34s
IMG_20230615_154319.jpg, 0.28x, 72.8px, -4.4px, 0.32s
IMG_20230616_133910.jpg, 0.25x, 84.8px, 42.4px, 0.36s
IMG_20230617_104653.jpg, 0.26x, 105.1px, 54.1px, 0.34s
IMG_20230618_074427.jpg, 0.25x, 90.9px, 53.8px, 0.33s
IMG_20230619_134219.jpg, 0.26x, 73.7px, 4.4px, 0.38s
IMG_20230620_123020.jpg, 0.27x, 71.0px, 13.8px, 0.32s
IMG_20230621_134248.jpg, 0.27x, 80.6px, 11.2px, 0.30s
IMG_20230622_134800.jpg, 0.24x, 89.0px, 39.1px, 0.30s
